Data Escala de Tempo 1 GE Comp 3;Selecione Comparar GE Comp 3;Codigo Aneel;Codigo Nucleo Aneel;Data Dica Comp;Data do Incio da Semana Din Instante GE Comp 3;Data Escala de Tempo 1 GE Comp 3;Período Exibido GE;Selecione Comparar GE Comp 3;Texto Incio Semana;Selecione Tipo de GE Comp 3
01/01/1999 00:00:00;Térmica;*;*;1999;;01/01/1999 00:00:00;1;Térmica;;12329,5680043
01/01/2000 00:00:00;Térmica;*;*;2000;;01/01/2000 00:00:00;1;Térmica;;15220,91427329
01/01/2001 00:00:00;Térmica;*;*;2001;;01/01/2001 00:00:00;1;Térmica;;19689,21694907
01/01/2002 00:00:00;Térmica;*;*;2002;;01/01/2002 00:00:00;1;Térmica;;17504,28799394
01/01/2003 00:00:00;Térmica;*;*;2003;;01/01/2003 00:00:00;1;Térmica;;15337,32004255
01/01/2004 00:00:00;Térmica;*;*;2004;;01/01/2004 00:00:00;1;Térmica;;21466,6860073
01/01/2005 00:00:00;Térmica;*;*;2005;;01/01/2005 00:00:00;1;Térmica;;20403,47230202
01/01/2006 00:00:00;Térmica;*;*;2006;;01/01/2006 00:00:00;1;Térmica;;20128,93029205
01/01/2007 00:00:00;Térmica;*;*;2007;;01/01/2007 00:00:00;1;Térmica;;18677,68185763
01/01/2008 00:00:00;Térmica;*;*;2008;;01/01/2008 00:00:00;1;Térmica;;36887,86849901
01/01/2009 00:00:00;Térmica;*;*;2009;;01/01/2009 00:00:00;1;Térmica;;16229,65990064
01/01/2010 00:00:00;Térmica;*;*;2010;;01/01/2010 00:00:00;1;Térmica;;37573,5856091
01/01/2011 00:00:00;Térmica;*;*;2011;;01/01/2011 00:00:00;1;Térmica;;25993,16281669
01/01/2012 00:00:00;Térmica;*;*;2012;;01/01/2012 00:00:00;1;Térmica;;54248,22740378
01/01/2013 00:00:00;Térmica;*;*;2013;;01/01/2013 00:00:00;1;Térmica;;94483,96096582
01/01/2014 00:00:00;Térmica;*;*;2014;;01/01/2014 00:00:00;1;Térmica;;125974,53184755
01/01/2015 00:00:00;Térmica;*;*;2015;;01/01/2015 00:00:00;1;Térmica;;138969,26207823
01/01/2016 00:00:00;Térmica;*;*;2016;;01/01/2016 00:00:00;1;Térmica;;101458,01131412
01/01/2017 00:00:00;Térmica;*;*;2017;;01/01/2017 00:00:00;1;Térmica;;113726,33281003
01/01/2018 00:00:00;Térmica;*;*;2018;;01/01/2018 00:00:00;1;Térmica;;96936,76246001
01/01/2019 00:00:00;Térmica;*;*;2019;;01/01/2019 00:00:00;1;Térmica;;98353,1542574
01/01/2020 00:00:00;Térmica;*;*;2020;;01/01/2020 00:00:00;1;Térmica;;91905,54282692
01/01/2021 00:00:00;Térmica;*;*;2021;;01/01/2021 00:00:00;1;Térmica;;53591,8669634
01/01/2015 00:00:00;Solar;*;*;2015;;01/01/2015 00:00:00;1;Solar;;20,82119328
01/01/2016 00:00:00;Solar;*;*;2016;;01/01/2016 00:00:00;1;Solar;;30,7394332
